2026 NFL Schedule with Kickoff Times:

Week 1:
  Dolphins @ Vikings                   1:00 PM ET
  Browns @ Ravens                      1:00 PM ET
  Raiders @ 49ers                      4:05 PM ET
  Jaguars @ Texans                     1:00 PM ET
  Bengals @ Colts                      1:00 PM ET
  Panthers @ Saints                    1:00 PM ET
  Packers @ Jets                       1:00 PM ET
  Cardinals @ Chargers                 4:05 PM ET
  Cowboys @ Eagles                     4:25 PM ET
  Rams @ Broncos                       8:20 PM ET (Sunday Night Football)
  Bills @ Patriots                     8:15 PM ET (Monday Night Football)
  Bye: Commanders, Giants, Seahawks, Titans

Week 10:
  Commanders @ Jaguars                 8:15 PM ET (Thursday Night Football)
  Falcons @ Steelers                   1:00 PM ET
  Titans @ Raiders                     1:00 PM ET
  Patriots @ Dolphins                  1:00 PM ET
  Lions @ Cardinals                    4:05 PM ET
  Texans @ Browns                      1:00 PM ET
  Chiefs @ Bengals                     1:00 PM ET
  Jets @ Bears                         1:00 PM ET
  49ers @ Giants                       1:00 PM ET
  Chargers @ Broncos                   4:25 PM ET
  Packers @ Buccaneers                 1:00 PM ET
  Seahawks @ Rams                      4:25 PM ET
  Ravens @ Cowboys                     8:20 PM ET (Sunday Night Football)
  Colts @ Vikings                      8:15 PM ET (Monday Night Football)
  Bye: Bills, Eagles, Panthers, Saints

Week 11:
  Chargers @ Rams                      8:15 PM ET (Thursday Night Football)
  Colts @ Commanders                   1:00 PM ET
  Buccaneers @ Ravens                  1:00 PM ET
  Vikings @ Saints                     1:00 PM ET
  Titans @ Jaguars                     1:00 PM ET
  Raiders @ Jets                       1:00 PM ET
  Giants @ Texans                      1:00 PM ET
  Bills @ Dolphins                     1:00 PM ET
  Panthers @ Browns                    1:00 PM ET
  Broncos @ 49ers                      4:05 PM ET
  Seahawks @ Cardinals                 4:05 PM ET
  Cowboys @ Packers                    4:25 PM ET
  Patriots @ Chiefs                    8:20 PM ET (Sunday Night Football)
  Steelers @ Eagles                    8:15 PM ET (Monday Night Football)
  Bye: Bears, Bengals, Falcons, Lions

Week 12:
  Texans @ Chargers                    4:05 PM ET
